"1624016456206925825 2023-02-10 12:04:30 +0000 <tesla_kobe> @mat2ate7 @Kyop_3 @pluteus871 おめでとう🎊㊗️㊗️🍾
",Text,Positive Emojis,Negative Emojis,Sentiment Score,Sentiment
"1622962935193649153 2023-02-07 14:18:11 +0000 <Difusion365> 🧲 10 datos que no sabías sobre Nikola Tesla  https://t.co/bOHhcmrxeb
",difusion 🧲 datos que no sabías sobre nikola tesla,0,0,-0.296,negative
"1623709894665768961 2023-02-09 15:46:20 +0000 <AngelaKlyles> @cb_doge @elonmusk I have a tesla lighter.
",angelaklyles i have a tesla lighter,0,0,0.0,neutral
"1623641594774671361 2023-02-09 11:14:56 +0000 <the_very_noob> Thinking about how Elon could have stayed nothing but ""the owner of SpaceX and Tesla"", enjoy his image of genius billionaire and live an easy peaceful life, but then actively worked at being hated by everyone on the internet
",theverynoob thinking about how elon could have stayed nothing but the owner of spacex and tesla enjoy his image of genius billionaire and live an easy peaceful life but then actively worked at being hated by everyone on the internet,0,0,0.8625,positive
"1623993044172255234 2023-02-10 10:31:28 +0000 <TeslaRoadster23> @UTDTrey @ayrastarr You Virgin
",teslaroadster you virgin,0,0,0.0,neutral
"1623986070802284545 2023-02-10 10:03:46 +0000 <TeslaRoshi> @Rainmaker1973 Almost thought I was getting Rick Rolled
",teslaroshi almost thought i was getting rick rolled,0,0,0.0,neutral
"1622927372201738240 2023-02-07 11:56:52 +0000 <BillEGoatGruff> $tsla $tsalq #tesla
",billegoatgruff tsla tsalq tesla,0,0,0.0,neutral
"1624016168582348800 2023-02-10 12:03:22 +0000 <MagazineTesla> @ThomasMeyerSEO Moi aussi :)
",magazinetesla moi aussi,0,0,0.0,neutral
"1622941189489000449 2023-02-07 12:51:47 +0000 <resistanreform> @PeterRehlinger @elonmusk Elon Musk has not invented or founded anything. Martin Eberhard and Marc Tarpenning  founded Tesla.    Agreed   Elon works on projects anyone could, torments his wives/ people he talks to.   Find a better hero.    https://t.co/5b9kk3GT6T  https://t.co/Coln5pUXol
",resistanreform elon musk has not invented or founded anything martin eberhard and marc tarpenning founded tesla agreed elon works on projects anyone could torments his wives people he talks to find a better hero,0,0,0.8225,positive
"1622922684643553282 2023-02-07 11:38:15 +0000 <saurabhpawarinc> Bill Gates - Microsoft Elon Musk - Tesla Gautam Adani - PM Modi  #ModiJPCseDaroMat  https://t.co/XTGVG2AXJl
",saurabhpawarinc bill gates microsoft elon musk tesla gautam adani pm modi modijpcsedaromat,0,0,0.0,neutral
"1623687907495100419 2023-02-09 14:18:58 +0000 <umbyrella> @jaubert_moniker @Boringstein still safer for kids than a tesla
",umbyrella still safer for kids than a tesla,0,0,0.4215,positive
"1624007851722305538 2023-02-10 11:30:19 +0000 <Tesla_1104HX> 아야... 살려준 건 우리 쪽인데 이건 좀 너무하지 않나.
",teslahx 아야 살려준 건 우리 쪽인데 이건 좀 너무하지 않나,0,0,0.0,neutral
"1622974448365182978 2023-02-07 15:03:56 +0000 <cheeyup> elon kata gua mnding lu rakit tesla lagi
",cheeyup elon kata gua mnding lu rakit tesla lagi,0,0,0.0,neutral
"1622928869241102336 2023-02-07 12:02:49 +0000 <FSDbetaa> GREAT MORNING FAM!  TESLA STOCK CHART FORMING TESLA LOGO....NFA!  $TSLA  @corey_aronson @coldenvy @YoumotherFUDer @DirtyTesLa @DriveTeslaca @TeslaDiva99 @j_grieshaber @GailAlfarATX @farzyness @phi_ci  https://t.co/3W55gKKkSF
",fsdbetaa great morning fam tesla stock chart forming tesla logonfa tsla,0,0,0.6249,positive
"1623700242733334528 2023-02-09 15:07:59 +0000 <MAJORScheerst> Tesla stock rallies again, toward the longest win streak in seven months  https://t.co/zb96FjkTnV
",majorscheerst tesla stock rallies again toward the longest win streak in seven months,0,0,0.5859,positive
"1624009405543882757 2023-02-10 11:36:29 +0000 <TeslaCop0927> @CaesarySybill @xLadyCarnagex @laralogan Where is that MAGA flag, can't see clearly :(( also about photo retouching... Who knows now anything, artificial intelligence got soooo damn good that we can't trust Video or pictures (deepfakes) anymore🤯🙈😑😞😬
",teslacop where is that maga flag cant see clearly also about photo retouching who knows now anything artificial intelligence got soooo damn good that we cant trust video or pictures deepfakes anymore🤯🙈😑😞😬,0,1,-1.168,negative
"1623988006284656641 2023-02-10 10:11:27 +0000 <ClubVirtualTSLA> 💥💰 Warren Buffet y Elon Musk ofrecen dos ejemplos inspiradores (adquirieron el 90% de su riqueza después de los 50 y 49 años respectivamente).   Empezar invirtiendo poco es mejor que no empezar. Luego: disciplina y paciencia para que la bola de nieve crezca.   #metasfinancieras
",clubvirtualtsla 💥💰 warren buffet y elon musk ofrecen dos ejemplos inspiradores adquirieron el de su riqueza después de los y años respectivamente empezar invirtiendo poco es mejor que no empezar luego disciplina y paciencia para que la bola de nieve crezca metasfinancieras,0,0,-0.296,negative
"1624010343012831236 2023-02-10 11:40:13 +0000 <NikolaTesla_1> @ElijahSchaffer This is a satanic ritual
",nikolatesla this is a satanic ritual,0,0,0.0,neutral
"1624011612628877313 2023-02-10 11:45:15 +0000 <and_tesla> @TeslAquarius  https://t.co/BWrVf2TvH5 充電も出来ないと価格コムには上がってました
",andtesla 充電も出来ないと価格コムには上がってました,0,0,0.0,neutral
"1624005136048685056 2023-02-10 11:19:31 +0000 <TESLAholder> @akihiko_s やり方わかったら教えて下さい☺️
",teslaholder やり方わかったら教えて下さい☺️,0,0,0.0,neutral
